=========== TABLE 1
| 0x5 | 0x2 | BBC U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0x3 | BBC U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0x4 | BBC U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0x5 | BBC U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0x6 | BBC U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0x7 | BBC U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0x8 | BBS U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0x9 | BBS U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0xa | BBS U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0xb | BBS U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0xc | BBS U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0xd | BBS U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0xe | BBS U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x5 | 0xf | BBS U12 B_PC_REL_TO_ABS UNSET NON TERM
| 0x6 | 0x0 | MOV V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x6 | 0x1 | MOV V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x6 | 0x2 | MOV V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x6 | 0x3 | MOV V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x6 | 0x4 | MOV V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x6 | 0x5 | MOV V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x6 | 0x6 | MOV V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x6 | 0x7 | MOV V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x6 | 0x8 | MOV V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x6 | 0x9 | MOV V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x6 | 0xa | MOV V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x6 | 0xb | MOV V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x6 | 0xc | MOV V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x6 | 0xd | MOV V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x6 | 0xe | MOV V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x6 | 0xf | MOV V_IMM_16 R_DIRECT_W WORD IR TERM
| 0x7 | 0x0 | CMP V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x7 | 0x1 | CMP V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x7 | 0x2 | CMP V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x7 | 0x3 | CMP V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x7 | 0x4 | CMP V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x7 | 0x5 | CMP V_IMM_8 R_DIRECT_B BYTE IR TERM
| 0x7 | 0x6 | CMP V_IMM_8 R_DIRECT_B BYTE IR TERM
